AIRLINE,AIR_SYSTEM_DELAY,WEATHER_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,ARRIVAL_DELAY,DEPARTURE_DELAY,sched_elapsed_diff,percent_delayed_flight
AA,1760561.0,467420.0,16158.0,2753994.0,2833302.0,3.4421022445111245,8.848321687614972,5.880077778010925,0.21558777654209596
AS,301478.0,38832.0,5825.0,347425.0,381417.0,-0.9751240593621135,1.7301912727442164,3.041504554667661,0.1641019965985602
B6,991461.0,115770.0,11417.0,1074056.0,1417496.0,6.661464023724052,11.481192445762447,5.3610570755309555,0.25861576705356565
DL,1779383.0,602901.0,3910.0,2707569.0,2136128.0,0.18639571716597128,7.345122289683077,7.429001337238774,0.162726820238868
EV,1687894.0,169313.0,0.0,2363973.0,2628976.0,6.565578469694928,8.642839556094712,2.375179044794896,0.23159635170957452
F9,581234.0,21616.0,0.0,346950.0,634039.0,12.485165852090745,13.305449346676863,1.0642018818366192,0.3007724617925103
HA,6241.0,11429.0,401.0,196422.0,126699.0,2.021710275583825,0.4752079691955896,-1.3993797064118907,0.15527052422693283
MQ,930774.0,402305.0,7049.0,1055033.0,1417073.0,6.4430825498960385,9.995351267396961,3.763251035139265,0.2475423270861143
NK,941423.0,44088.0,5147.0,471115.0,701218.0,14.452979374561092,15.89960379043375,1.6351490771004742,0.338373373329981
OO,1333972.0,250325.0,9896.0,2043703.0,2868684.0,5.834232787662451,7.749691578581279,2.1137914984695723,0.22209629669361858
UA,1510372.0,325044.0,1305.0,2214313.0,2724772.0,5.419277444607754,14.35288534846615,9.377753892587382,0.2379331756124783
US,601963.0,70557.0,6163.0,636322.0,523060.0,3.6992949133031154,6.103964313979423,2.791860668290627,0.2276988066972958
VX,239808.0,35264.0,1826.0,130710.0,255509.0,4.728672696162308,9.00497025992015,4.864923001711073,0.23247779678970096
WN,1669198.0,545369.0,11888.0,3831371.0,6313558.0,4.365651903975172,10.535050315127148,6.449863580104622,0.22611326586097139
